,afternoon_laboratory_bowl,morning_laboratory_computer,morning_laboratory_bowl,morning_laboratory_phone,morning_laboratory_bed,midnight_laboratory_bed,evening_laboratory_bed,evening_laboratory_phone,evening_laboratory_bowl,evening_laboratory_computer,afternoon_laboratory_computer,afternoon_laboratory_book,morning_laboratory_book,afternoon_laboratory_phone,evening_laboratory_book
afternoon_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.99646172001104,0.0,0.0,113.64629448645364,0.0
morning_laboratory_computer,247.70822507164047,0.0,0.0,151.55478954989908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bowl,0.0,210.36059032018713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.43527568087877,116.52456166902525,0.0,0.0
morning_laboratory_phone,114.16872345277638,99.75257845989259,259.93767457586296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bed,0.0,0.0,0.0,255.23381802554061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midnight_laboratory_bed,0.0,0.0,0.0,0.0,242.404584900278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bed,0.0,0.0,0.0,0.0,0.0,233.13867942417727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,231.68838976756004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.9896097279221,0.0,186.4776321861802,0.0,0.0,0.0,0.0,117.1753904204063
evening_laboratory_computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.58042577226728,129.8126319205531,0.0,0.0,0.0,0.0,0.0,96.3771200600541
afternoon_laboratory_computer,0.0,0.0,132.99553733546364,0.0,0.0,0.0,0.0,0.0,169.02240682465796,0.0,0.0,112.23856013664158,0.0,177.9585966536248,0.0
afternoon_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.32897847667533,0.0,0.0,0.0,0.0
morning_laboratory_book,0.0,128.0121584592852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afternoon_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.6275071321182,0.0,133.01381245409814,108.55075945678063,0.0,0.0,0.0
evening_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.63036818214522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
