,afternoon_laboratory_bowl,morning_laboratory_computer,morning_laboratory_bowl,morning_laboratory_phone,morning_laboratory_bed,midnight_laboratory_bed,evening_laboratory_bed,evening_laboratory_phone,evening_laboratory_bowl,evening_laboratory_computer,afternoon_laboratory_computer,afternoon_laboratory_book,morning_laboratory_book,afternoon_laboratory_phone,evening_laboratory_book
afternoon_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.11885269187485,0.0,0.0,109.08144497185103,0.0
morning_laboratory_computer,247.64354949719296,0.0,0.0,123.1822898438567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bowl,0.0,210.69590895600965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.98480438161255,137.0073128969569,0.0,0.0
morning_laboratory_phone,129.52311289999412,112.767220954204,255.00399284554618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bed,0.0,0.0,0.0,253.50198803921307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midnight_laboratory_bed,0.0,0.0,0.0,0.0,246.79814966093252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bed,0.0,0.0,0.0,0.0,0.0,251.9589503017877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,241.02930848750356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.64264822739062,0.0,178.62503788551808,0.0,0.0,0.0,0.0,119.3486581028569
evening_laboratory_computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.90989113518953,130.66988570017273,0.0,0.0,0.0,0.0,0.0,99.17846727917713
afternoon_laboratory_computer,0.0,0.0,124.52780712613337,0.0,0.0,0.0,0.0,0.0,159.9398568778796,0.0,0.0,99.89015442427254,0.0,181.10880034065724,0.0
afternoon_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.28206621809235,0.0,0.0,0.0,0.0
morning_laboratory_book,0.0,123.87128462988647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afternoon_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.95205094386455,0.0,137.44011740485615,95.54053414648268,0.0,0.0,0.0
evening_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.83612607360192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
