,afternoon_laboratory_bowl,morning_laboratory_computer,morning_laboratory_bowl,morning_laboratory_phone,morning_laboratory_bed,midnight_laboratory_bed,evening_laboratory_bed,evening_laboratory_phone,evening_laboratory_bowl,evening_laboratory_computer,afternoon_laboratory_computer,afternoon_laboratory_book,morning_laboratory_book,afternoon_laboratory_phone,evening_laboratory_book
afternoon_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.25777956710849,0.0,0.0,102.35571036976008,0.0
morning_laboratory_computer,245.96977287294152,0.0,0.0,133.55000414775938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bowl,0.0,225.37026822563277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.17776150179606,121.1871111917764,0.0,0.0
morning_laboratory_phone,129.29058335068953,106.98774632022223,254.58008825190078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bed,0.0,0.0,0.0,244.87666399827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midnight_laboratory_bed,0.0,0.0,0.0,0.0,252.12899405463665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bed,0.0,0.0,0.0,0.0,0.0,245.15707393051656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,224.89363440419498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.4618630611975,0.0,178.3260846341986,0.0,0.0,0.0,0.0,123.55257688884491
evening_laboratory_computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.66498654620625,135.3132593169443,0.0,0.0,0.0,0.0,0.0,97.37442736702774
afternoon_laboratory_computer,0.0,0.0,125.82767103472383,0.0,0.0,0.0,0.0,0.0,174.1773175434908,0.0,0.0,96.40690231406799,0.0,178.40079817498759,0.0
afternoon_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.69436082932282,0.0,0.0,0.0,0.0
morning_laboratory_book,0.0,126.88700273577692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afternoon_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.83159658745927,0.0,131.7334291447759,109.09181208516932,0.0,0.0,0.0
evening_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.43404252370797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
