,afternoon_laboratory_bowl,morning_laboratory_computer,morning_laboratory_bowl,morning_laboratory_phone,morning_laboratory_bed,midnight_laboratory_bed,evening_laboratory_bed,evening_laboratory_phone,evening_laboratory_bowl,evening_laboratory_computer,afternoon_laboratory_computer,afternoon_laboratory_book,morning_laboratory_book,afternoon_laboratory_phone,evening_laboratory_book
afternoon_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.57570292185395,0.0,0.0,109.55867717499618,0.0
morning_laboratory_computer,223.49711290637748,0.0,0.0,130.14556097449025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bowl,0.0,219.63331942289156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.4532549528151,120.85944131624586,0.0,0.0
morning_laboratory_phone,135.68410439745176,111.9682602367581,255.22322920641363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bed,0.0,0.0,0.0,244.92854382433143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midnight_laboratory_bed,0.0,0.0,0.0,0.0,243.9784486174788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bed,0.0,0.0,0.0,0.0,0.0,249.22947243315656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,238.14772017947467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.15552904153594,0.0,192.2539149051091,0.0,0.0,0.0,0.0,116.65629287991194
evening_laboratory_computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.37367411215018,135.38735142766737,0.0,0.0,0.0,0.0,0.0,116.72540422445567
afternoon_laboratory_computer,0.0,0.0,140.4788560680687,0.0,0.0,0.0,0.0,0.0,167.45945757344376,0.0,0.0,120.3182978070686,0.0,184.56355195171437,0.0
afternoon_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.36593127381002,0.0,0.0,0.0,0.0
morning_laboratory_book,0.0,134.39505652555036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afternoon_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.1721881931391,0.0,144.7889306103548,98.95382578080265,0.0,0.0,0.0
evening_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.69120612320356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
